,battery_power,clock_speed,fc,int_memory,n_cores,pc,ram,sc_h,sc_w
674,0.3560454241816968,0.8400000000000001,0.10526315789473684,0.6935483870967742,0.2857142857142857,0.2,0.1905398182789952,0.7142857142857143,0.05555555555555555
1699,0.3346693386773547,0.52,0.05263157894736842,0.6935483870967742,0.8571428571428572,0.35000000000000003,0.2613575628006414,0.9999999999999999,0.7222222222222222
1282,0.07214428857715433,0.0,0.21052631578947367,0.12903225806451613,0.7142857142857142,0.30000000000000004,0.440673436664885,0.7857142857142857,0.16666666666666666
1315,0.6740146960587843,0.03999999999999998,0.05263157894736842,0.4838709677419355,0.2857142857142857,0.4,0.15980758952431853,0.2142857142857143,0.1111111111111111
1210,0.20307281229124918,0.48000000000000004,0.0,0.9032258064516129,0.2857142857142857,0.5,0.839390700160342,0.1428571428571429,0.3333333333333333
1636,0.7080828323313295,0.0,0.5263157894736842,0.03225806451612903,0.14285714285714285,0.65,0.4080705505077498,0.5714285714285714,0.6666666666666666
613,0.037408149632598586,0.4400000000000001,0.0,0.3548387096774194,0.2857142857142857,0.0,0.28033137359700694,0.5,0.4444444444444444
447,0.5664662658650635,0.6000000000000001,0.7894736842105263,0.967741935483871,0.5714285714285714,0.8,0.6680919294494923,0.4285714285714286,0.16666666666666666
1131,0.22044088176352705,0.07999999999999996,0.10526315789473684,0.967741935483871,1.0,0.45,0.6191876002137894,0.7857142857142857,0.6666666666666666
808,0.9024716098864396,0.35999999999999993,0.21052631578947367,0.12903225806451613,0.0,0.9,0.9925173703901655,0.5714285714285714,0.05555555555555555
1496,0.9131596526386105,0.0,0.10526315789473684,0.6129032258064516,1.0,0.8500000000000001,0.011223944414751469,0.2142857142857143,0.1111111111111111
1468,0.6172344689378758,0.03999999999999998,0.0,0.5,0.2857142857142857,0.1,0.939337252805986,0.3571428571428571,0.16666666666666666
1682,0.9986639946559788,0.9199999999999999,0.0,0.08064516129032258,0.5714285714285714,0.2,0.2677712453233565,0.8571428571428571,0.7777777777777777
